lang	sys.start	sys.inc	sys.print.no-out	sys.print	user.start	user.inc	user.print.no-out	user.print	rendering?
asm	0.000	0.000	1.856	10.204	0.000	0.056	1.388	0.000	13.591
c	0.000	0.000	0.004	12.752	0.000	0.024	0.244	0.844	15.043
rs	0.000	0.000	0.976	12.084	0.000	0.044	1.796	0.556	15.356
sbcl	0.000	0.000	1.044	12.332	0.004	0.004	3.348	0.860	14.851
pl	0.000	0.000	0.004	14.028	0.004	0.984	0.872	1.964	16.541
pyc	0.004	0.000	0.000	14.284	0.012	0.800	2.316	1.920	16.487
py	0.000	0.000	0.004	14.536	0.024	0.728	2.252	2.372	16.836
lua	0.000	0.000	1.156	13.540	0.000	0.940	3.172	1.536	17.063
rb	0.004	0.000	0.000	15.944	0.036	0.216	3.304	7.352	17.496
java	0.004	0.016	2.496	16.920	0.072	0.072	10.500	0.332	19.994
tcl	0.004	0.000	1.656	17.744	0.000	7.460	6.680	6.292	20.447
sh	0.000	0.000	1.852	21.888	0.000	90.436	33.556	13.212	27.607
